ResponseId,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q24,Q25,Q26,Q27,Q28,Q29,Q31,RandomSurveyID
R_25BGM7sJWX80sbH,25-34,Baltimore City,Bachelor’s Degree,1996,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)",Less often than monthly but at least once a year,Within a year,When a company makes a public announcement about something positive that has happened or is going to happen,Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When someone sends an email to a large group of people and one of the recipients replies with a personal response to all recipients of the original email,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,An application on my phone that verifies I am logging in,I use the same password for most of my accounts,I remember my passwords,I have received security awareness training within the past year,No,No,No,0,No,No,No,Neither likely nor unlikely,Somewhat agree,Strongly agree,51395
R_3qWn5zSGo9HJBIy,55-64,Washington County,Graduate Degree,1966,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in a location other than my house",Daily,Within in a week,"Attempting to inform people about the use of proper security policies, processes, and procedures",When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When someone you know sends an email that was forwarded to you encouraging you to forward that message on to everyone in your address book,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in,I use the same password for all of my accounts;I use the same password for most of my accounts,I remember my passwords,I have received security awareness training within the past 6 months,No,Yes,No,5,Yes,No,Yes,Extremely likely,Somewhat agree,Strongly agree,77054
R_3k07lPbatD4FeZD,35-44,Baltimore City,Bachelor’s Degree,1980,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I keep multiple copies of my files on my computer",Monthly,Within a month,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When someone you know sends an email that was forwarded to you encouraging you to forward that message on to everyone in your address book,When someone uses a different password for each web site they access,I use multifactor authentication on most of my online accounts.,An application on my phone that verifies I am logging in;An application that generates a one-time code,I use the same password for most of my accounts;I use passwords that are similar but different for all of my accounts,I write my passwords down,I have received security awareness training within the past month,No,Yes,Yes,150,Yes,Yes,I don't know,Neither likely nor unlikely,Somewhat agree,Strongly agree,30872
R_1dnyDdLT5HS4xnH,25-34,Montgomery County,Bachelor’s Degree,1996,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house;I keep multiple copies of my files on my computer",Continuously;Daily;Weekly,Within in a week,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,"Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in;An application that generates a one-time code;A hardware security token (e.g., YubiKey or Google Titan)","I use passwords that are similar but different for all of my accounts;I use personal information (names of pets, children, or friends) as all or part of my password",I remember my passwords;I write my passwords down,I have received security awareness training within the past 6 months,No,Yes,No,0,Yes,No,No,Somewhat likely,Strongly agree,Somewhat agree,37605
R_2y9R0IRfabGFp3S,35-44,Baltimore City,Bachelor’s Degree,1980,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house;I use removable storage that I keep in a location other than my house;I keep multiple copies of my files on my computer",Daily;Weekly,Within in a week,Any action in which someone tries to convince another person to take an action which may not be in their best interests,Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When someone sends an email to a large group of people and one of the recipients replies with a personal response to all recipients of the original email,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,"Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in;A hardware security token (e.g., YubiKey or Google Titan)","I use the same password for most of my accounts;I use personal information (names of pets, children, or friends) as all or part of my password;I use a unique complex password for my accounts",I remember my passwords,I have received security awareness training within the past month,No,No,No,0,I don't know,I don't know,No,Neither likely nor unlikely,Strongly agree,Somewhat agree,20043
R_5tY8iOgqMOSRDmp,25-34,Carroll County,Bachelor’s Degree,1992,I use removable storage that I keep in my house,Less often than monthly but at least once a year,Within a month,"Attempting to inform people about the use of proper security policies, processes, and procedures",When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in;An application that generates a one-time code,I use passwords that are similar but different for all of my accounts;I use a unique complex password for my accounts,I write my passwords down;I use a password manager,I have never received security awareness training.,No,No,No,0,No,No,Yes,Somewhat unlikely,Somewhat agree,Neither agree nor disagree,39598
R_2XdJoCRdn9hszoZ,25-34,Howard County,Graduate Degree,1988,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house;I keep multiple copies of my files on my computer",Continuously;Monthly,Within a year,I don’t know,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication wherever it is offered to me.,"An application that generates a one-time code;A hardware security token (e.g., YubiKey or Google Titan)",I use passwords that are similar but different for all of my accounts,I remember my passwords;I write my passwords down,I have received security awareness training a year or more ago,No,I don't know,No,0,Yes,No,Yes,Somewhat likely,Strongly agree,Somewhat agree,52899
R_3fCRZ2v8BpneG3c,25-34,St. Mary's County,Bachelor’s Degree,1985,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)",Weekly,Within in a week,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When someone sends an email to a large group of people and one of the recipients replies with a personal response to all recipients of the original email,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on most of my online accounts.,An application on my phone that verifies I am logging in,I use the same password for most of my accounts,I remember my passwords,I have received security awareness training within the past 6 months,No,No,No,0,Yes,No,No,Extremely unlikely,Strongly agree,Strongly agree,61972
R_1FyroNHA0nHT1xx,25-34,Prince George's County,Bachelor’s Degree,1990,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house;I keep multiple copies of my files on my computer",Weekly,Within in a week,Any action in which someone tries to convince another person to take an action which may not be in their best interests,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication wherever it is offered to me.,Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in;An application that generates a one-time code,I use the same password for most of my accounts;I use a unique complex password for my accounts,I remember my passwords;I use a password manager,I have received security awareness training a year or more ago,No,Yes,Yes,10,Yes,No,Yes,Somewhat likely,Strongly agree,Strongly agree,38395
R_WeTxuYno1jc3sDn,25-34,Prince George's County,High School Diploma or GED,1997,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)",Weekly,Within in a week,I don’t know,I don’t know,I don’t know,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on most of my online accounts.,Messages sent to my phone that contain a code,I use the same password for most of my accounts,I remember my passwords,I have received security awareness training a year or more ago,No,I don't know,No,0,Yes,I don't know,No,Neither likely nor unlikely,Somewhat agree,Neither agree nor disagree,74997
R_3CJGTCoCQk4mrIU,35-44,Montgomery County,Some College,1984,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)",Less often than monthly but at least once a year,Within in a week,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication wherever it is offered to me.,Messages sent to my phone that contain a code;An application that generates a one-time code,I use a unique complex password for my accounts,I remember my passwords,I have received security awareness training a year or more ago,I don't know,I don't know,No,0,Yes,No,No,Extremely likely,Somewhat disagree,Neither agree nor disagree,37789
R_1hF5qqaZB79mWCC,25-34,Baltimore City,Bachelor’s Degree,1988,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house;I keep multiple copies of my files on my computer",Weekly;Monthly,Within a month,"Attempting to inform people about the use of proper security policies, processes, and procedures",When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in,"I use personal information (names of pets, children, or friends) as all or part of my password;I use a unique complex password for my accounts",I remember my passwords,I have received security awareness training within the past 6 months,No,No,No,0,No,Yes,No,Somewhat unlikely,Somewhat agree,Somewhat agree,50867
R_BJKF1skuTGn7dDz,18-24,Charles County,High School Diploma or GED,2004,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)",Weekly,Within in a week,I don’t know,I don’t know,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on most of my online accounts.,Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in;An application that generates a one-time code,I use a unique complex password for my accounts,I write my passwords down,I have never received security awareness training.,No,No,No,0,I don't know,No,Yes,Extremely likely,Somewhat agree,Somewhat disagree,32865
R_2SdxYOySgve8h1a,55-64,Washington County,Graduate Degree,1964,I keep multiple copies of my files on my computer,Monthly,Within a month,"Attempting to inform people about the use of proper security policies, processes, and procedures",When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When someone sends an email to a large group of people and one of the recipients replies with a personal response to all recipients of the original email,Adding different numbers to the ends of a usernames so a user never has the same username on multiple sites,I use multifactor authentication on most of my online accounts.,"A hardware security token (e.g., YubiKey or Google Titan)",I use passwords that are similar but different for all of my accounts,I remember my passwords,I have received security awareness training within the past 6 months,No,Yes,No,0,Yes,No,Yes,Somewhat unlikely,Strongly agree,Strongly agree,37102
R_3HRlkqoN3BF2hSu,45-54,Howard County,Graduate Degree,1970,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house",Weekly,Within in a week,Any action in which someone tries to convince another person to take an action which may not be in their best interests,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,An application that generates a one-time code,I use a unique complex password for my accounts,I remember my passwords,I have received security awareness training within the past 6 months,Yes,Yes,No,0,Yes,No,Yes,Extremely likely,Strongly agree,Somewhat agree,24019
R_T1QM37FivSvIBm9,25-34,Queen Anne's County,Graduate Degree,1997,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house;I use removable storage that I keep in a location other than my house;I keep multiple copies of my files on my computer",Monthly,Within a month,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,When someone in a business setting sends an email to a coworker inappropriately delegating their work to the recipient,When a someone fraudulently sends email to people to convince them to take an action which may harm them,When someone uses a different password for each web site they access,I use multifactor authentication on most of my online accounts.,An application on my phone that verifies I am logging in;An application that generates a one-time code,"I use passwords that are similar but different for all of my accounts;I use personal information (names of pets, children, or friends) as all or part of my password",I write my passwords down;I use a password manager,I have received security awareness training within the past year,No,I don't know,No,0,I don't know,No,No,Neither likely nor unlikely,Strongly disagree,Somewhat disagree,26306
R_1jPNHunChBemHBA,35-44,Anne Arundel County,Graduate Degree,1979,I use removable storage that I keep in my house;I keep multiple copies of my files on my computer,Monthly;Less often than monthly but at least once a year,Within a year,Any action in which someone tries to convince another person to take an action which may not be in their best interests,Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on most of my online accounts.,"Messages sent to my phone that contain a code;An application that generates a one-time code;A hardware security token (e.g., YubiKey or Google Titan)",I use passwords that are similar but different for all of my accounts;I use a unique complex password for my accounts,I remember my passwords;I use a password manager,I have received security awareness training within the past year,No,Yes,No,0,Yes,No,Yes,Extremely likely,Strongly agree,Strongly agree,59872
R_ZqKWLe4LbSLDqZr,25-34,Caroline County,Bachelor’s Degree,1989,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house;I use removable storage that I keep in a location other than my house;I keep multiple copies of my files on my computer",Continuously;Daily;Weekly;Monthly;Less often than monthly but at least once a year;Once a year or less frequently,Within in a week,When a company makes a public announcement about something positive that has happened or is going to happen,Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,I don’t know,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,"I do not use multifactor authentication;Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in;An application that generates a one-time code;A hardware security token (e.g., YubiKey or Google Titan)","I use the same password for all of my accounts;I use the same password for most of my accounts;I use passwords that are similar but different for all of my accounts;I use personal information (names of pets, children, or friends) as all or part of my password;I use a unique complex password for my accounts",I remember my passwords;I write my passwords down;I use a password manager,I have received security awareness training within the past month,Yes,Yes,Yes,0,No,No,No,Extremely likely,Somewhat agree,Somewhat agree,32643
R_24HRvxfuKYr2kWm,35-44,Howard County,Bachelor’s Degree,1981,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)",Weekly,Within in a week,Any action in which someone tries to convince another person to take an action which may not be in their best interests,Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When someone you know sends an email that was forwarded to you encouraging you to forward that message on to everyone in your address book,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on most of my online accounts.,An application that generates a one-time code,I use the same password for most of my accounts,I use a password manager,I have received security awareness training within the past 6 months,Yes,Yes,No,0,Yes,Yes,Yes,Neither likely nor unlikely,Strongly disagree,Somewhat disagree,50589
R_3OoZGpyQfUG1NwS,75 years or older,Montgomery County,Bachelor’s Degree,1944,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house;I keep multiple copies of my files on my computer",I don’t know,I don’t know,Any action in which someone tries to convince another person to take an action which may not be in their best interests,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I don’t know.,I don’t know.,I use a unique complex password for my accounts,I write my passwords down,I have never received security awareness training.,No,Yes,Yes,100,No,No,I don't know,Somewhat likely,Strongly disagree,Strongly disagree,29854
R_xsKahipXUFm553r,25-34,Baltimore County,Graduate Degree,1992,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I keep multiple copies of my files on my computer",Continuously,Within a day,"Attempting to inform people about the use of proper security policies, processes, and procedures",When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When someone sends an email to a large group of people and one of the recipients replies with a personal response to all recipients of the original email,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in;An application that generates a one-time code,I use the same password for most of my accounts;I use a unique complex password for my accounts,I remember my passwords,I have received security awareness training within the past year,No,No,No,0,Yes,No,No,Somewhat unlikely,Strongly agree,Strongly agree,50955
R_1QgaJm9VfBBGlT6,55-64,Queen Anne's County,Graduate Degree,1965,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in a location other than my house;I keep multiple copies of my files on my computer",Continuously;Monthly,Within a month,"Attempting to inform people about the use of proper security policies, processes, and procedures",Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When someone you know sends an email that was forwarded to you encouraging you to forward that message on to everyone in your address book,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,"A hardware security token (e.g., YubiKey or Google Titan)",I use the same password for all of my accounts,I remember my passwords,I have received security awareness training a year or more ago,No,No,No,0,Yes,No,No,Somewhat likely,Neither agree nor disagree,Somewhat agree,32882
R_scjxhClJwnwES5j,25-34,Washington County,Bachelor’s Degree,1988,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in a location other than my house",Continuously;Weekly,Within a day,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,When someone in a business setting sends an email to a coworker inappropriately delegating their work to the recipient,When companies or individuals send out emails to promote or sell their products,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,An application on my phone that verifies I am logging in;An application that generates a one-time code,"I use the same password for most of my accounts;I use personal information (names of pets, children, or friends) as all or part of my password",I write my passwords down,I have received security awareness training within the past month,Yes,No,Yes,8,Yes,No,No,Extremely likely,Strongly agree,Somewhat agree,68388
R_UFJ3rCmbXY8U1ZT,25-34,Caroline County,Bachelor’s Degree,1995,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)",Continuously;Daily,Within in a week,"Attempting to inform people about the use of proper security policies, processes, and procedures",I don’t know,I don’t know,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on most of my online accounts.,Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in,I use the same password for all of my accounts;I use the same password for most of my accounts,I write my passwords down;I use a password manager,I have received security awareness training within the past 6 months,No,No,No,0,No,No,No,Extremely unlikely,Somewhat agree,Somewhat agree,72628
R_1i8PXPQonRZ6CYO,55-64,Washington County,Graduate Degree,1963,I use removable storage that I keep in my house;I use removable storage that I keep in a location other than my house;I keep multiple copies of my files on my computer,Daily,Within a month,"Attempting to inform people about the use of proper security policies, processes, and procedures",When someone in a business setting sends an email to a coworker inappropriately delegating their work to the recipient,When someone sends an email to a large group of people and one of the recipients replies with a personal response to all recipients of the original email,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in;An application that generates a one-time code,"I use the same password for most of my accounts;I use personal information (names of pets, children, or friends) as all or part of my password;I use a unique complex password for my accounts",I remember my passwords;I write my passwords down,I have received security awareness training within the past 6 months,No,No,No,0,No,No,No,Somewhat likely,Somewhat agree,Strongly agree,63588
R_2tzmWHyjqnfc0hr,45-54,Howard County,Graduate Degree,1968,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)",Daily,Within a day,I don’t know,Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When someone you know sends an email that was forwarded to you encouraging you to forward that message on to everyone in your address book,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,An application on my phone that verifies I am logging in,I use the same password for most of my accounts,I remember my passwords,I have received security awareness training within the past month,No,Yes,No,0,I don't know,No,Yes,Somewhat likely,Strongly agree,Somewhat agree,35303
R_sMR5WQXp6EH0UVz,35-44,Anne Arundel County,Graduate Degree,1979,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)",Less often than monthly but at least once a year,Within a year,Any action in which someone tries to convince another person to take an action which may not be in their best interests,Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on most of my online accounts.,Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in;An application that generates a one-time code,I use passwords that are similar but different for all of my accounts,I write my passwords down,I have received security awareness training within the past 6 months,No,Yes,No,0,Yes,No,No,Extremely likely,Somewhat agree,Somewhat agree,61257
R_3sdBQ9Dp7t5tsHM,25-34,Anne Arundel County,Do not have a HS Diploma or GED,1988,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)",Monthly,Within a month,I don’t know,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on most of my online accounts.,Messages sent to my phone that contain a code;An application that generates a one-time code,I use the same password for most of my accounts;I use a unique complex password for my accounts,I remember my passwords;I use a password manager,I have never received security awareness training.,Yes,I don't know,No,0,Yes,No,Yes,Extremely likely,Somewhat agree,Somewhat disagree,78872
R_2dYKicYBywAWmpz,35-44,Wicomico County,Graduate Degree,1986,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house;I keep multiple copies of my files on my computer",Daily,Within a day,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,When someone in a business setting sends an email to a coworker inappropriately delegating their work to the recipient,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication wherever it is offered to me.,An application on my phone that verifies I am logging in,"I use personal information (names of pets, children, or friends) as all or part of my password",I use a password manager,I have received security awareness training within the past year,No,No,No,0,No,No,No,Extremely unlikely,Strongly agree,Strongly agree,53916
R_xaQAWRuoACZqosp,25-34,Montgomery County,Graduate Degree,1989,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house",Continuously;Monthly,Within in a week,I don’t know,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,I don’t know,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication wherever it is offered to me.,Messages sent to my phone that contain a code,I use passwords that are similar but different for all of my accounts;I use a unique complex password for my accounts,I remember my passwords;I use a password manager,I have received security awareness training within the past month,No,No,No,0,Yes,No,No,Neither likely nor unlikely,Somewhat agree,Somewhat agree,33653
R_bNvIYcioJAsbSal,25-34,Anne Arundel County,Bachelor’s Degree,1990,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house;I use removable storage that I keep in a location other than my house",Less often than monthly but at least once a year,Within a year,Any action in which someone tries to convince another person to take an action which may not be in their best interests,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in;An application that generates a one-time code,I use passwords that are similar but different for all of my accounts,I remember my passwords;I use a password manager,I have received security awareness training within the past 6 months,No,I don't know,No,0,Yes,No,Yes,Extremely likely,Strongly agree,Strongly agree,64060
R_1C2XWktblbjmpoU,35-44,Cecil County,Associates Degree,1982,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)",Continuously,Within a month,Any action in which someone tries to convince another person to take an action which may not be in their best interests,Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in,I use a unique complex password for my accounts,I use a password manager,I don’t know.,No,Yes,Yes,100,Yes,No,Yes,Somewhat likely,Strongly agree,Somewhat agree,37160
R_1jp4yW6Dz5PJirq,25-34,Howard County,Bachelor’s Degree,1991,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)",Continuously,Within a month,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication wherever it is offered to me.,"Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in;An application that generates a one-time code;A hardware security token (e.g., YubiKey or Google Titan)",I use a unique complex password for my accounts,I use a password manager,I have never received security awareness training.,No,No,No,0,No,No,Yes,Somewhat likely,Strongly agree,Strongly agree,49448
R_2qC2QM6mzy7ApXo,18-24,St. Mary's County,Bachelor’s Degree,1998,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I keep multiple copies of my files on my computer",Daily;Monthly,Within a month,When a company makes a public announcement about something positive that has happened or is going to happen,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When companies or individuals send out emails to promote or sell their products,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,An application on my phone that verifies I am logging in;An application that generates a one-time code,"I use the same password for all of my accounts;I use personal information (names of pets, children, or friends) as all or part of my password",I write my passwords down;I use a password manager,I have received security awareness training within the past 6 months,No,No,No,0,I don't know,No,No,Somewhat likely,Somewhat agree,Somewhat agree,79120
R_yrwV5XcO036F9Yt,45-54,Montgomery County,Graduate Degree,1976,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I keep multiple copies of my files on my computer",I don’t know,Within a month,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,An application that generates a one-time code,I use a unique complex password for my accounts,I write my passwords down,I don’t know.,No,Yes,Yes,150,No,No,No,Extremely likely,Somewhat disagree,Somewhat disagree,43930
R_1kIxJluKsRs9G6L,18-24,Baltimore County,Some College,2001,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)",Weekly,Within a month,I don’t know,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,I don’t know,I don’t know.,I don’t know.,I use a unique complex password for my accounts,I write my passwords down,I don’t know.,No,I don't know,No,0,No,No,Yes,Somewhat unlikely,Somewhat agree,Strongly agree,51536
R_2qq43GS2i3AcJd7,18-24,Harford County,Bachelor’s Degree,1998,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house;I use removable storage that I keep in a location other than my house;I keep multiple copies of my files on my computer",Continuously,Within a day,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I do not use multifactor authentication.,An application on my phone that verifies I am logging in,I use the same password for most of my accounts,I remember my passwords;I write my passwords down;I use a password manager,I have received security awareness training a year or more ago,No,No,No,0,No,No,No,Extremely unlikely,Strongly agree,Strongly agree,49958
